Newcastle,21600,10800,128,128,128
108,72,5184,3456,.\images\IMG_7090.JPG,
5508,72,5184,3456,.\images\IMG_7224.JPG,
10908,72,5184,3456,.\images\IMG_7267.JPG,
16308,72,5184,3456,.\images\IMG_7270.JPG,
108,3672,5184,3456,.\images\IMG_7276.JPG,
5508,3672,5184,3456,.\images\IMG_7283.JPG,
10908,3672,5184,3456,.\images\IMG_7284.JPG,
16308,3672,5184,3456,.\images\IMG_7294.JPG,
108,7272,5184,3456,.\images\IMG_7301.JPG,
5508,7272,5184,3456,.\images\IMG_7302.JPG,
10908,7272,5184,3456,.\images\IMG_7314.JPG,
16308,7272,5184,3456,.\images\IMG_7605.JPG,
